date,oil_production_growth,real_activity,real_oil_price,real_sp500_return,fedfunds
1988-01-01,-1.4987121129500736,2.888207,-1.9168536490428318,9.475144501403054,6.83
1988-02-01,0.22703483031474292,14.138447,-1.9315558356036302,-0.524533558278506,6.58
1988-03-01,0.7007246106006448,19.234214,-1.9846777459971319,4.407349586387177,6.58
1988-04-01,0.6108669436519776,11.694667,-1.8903172375631287,-4.8533966970201625,6.87
1988-05-01,-0.6545186733902142,5.2473454,-1.9088193621598568,1.8578306021894697,7.09
1988-06-01,-0.4147677037540376,-5.0622713,-1.9487106770451406,1.5176960085879543,7.51
1988-07-01,0.5334558645810006,-11.418589,-2.0334279833867384,1.4677630564930766,7.75
1988-08-01,1.951972429906057,-9.3493645,-2.034419974361284,-0.26296476926761514,8.01
1988-09-01,0.829639940643645,-4.7992814,-2.100925917049933,-5.645139574636016,8.19
1988-10-01,2.6435617448695936,-1.8878356,-2.1634397964479564,4.5863101690248875,8.3
1988-11-01,0.7981545033670656,7.8909469,-2.153076449711763,2.4576172057883205,8.35
1988-12-01,0.37629087477704104,11.36421,-2.004600023983821,-2.7144428494474404,8.76
1989-01-01,-4.752051752524444,17.833195,-1.9026357186711838,0.616190075569989,9.12
1989-02-01,-0.8219177243200093,12.272303,-1.9192938423802033,7.284248834668183,9.36
1989-03-01,0.7174039181286673,17.595461,-1.8403859806682126,-3.9091821510707447,9.85
1989-04-01,0.754836564453143,17.030112,-1.76514680537431,2.4472851061643652,9.84
1989-05-01,-0.24017794925672575,21.588415,-1.8136629274323217,3.7191084936271324,9.81
1989-06-01,0.14996594494292026,3.1783623,-1.824355918323487,3.7500429253095824,9.53
1989-07-01,0.7887211936967731,1.1025574,-1.8361017087715628,-1.1764520450886273,9.24
1989-08-01,1.369217826922231,2.4857409,-1.9049146756074937,7.400276844394593,8.99
1989-09-01,0.22805406606334344,3.9639345,-1.8583513791774682,2.6212552303857883,9.02
1989-10-01,0.7289386506201367,10.673192,-1.8292973885471204,-1.2914343003547657,8.84
1989-11-01,1.4014440272045903,18.217045,-1.8442658229741966,-3.192623203234568,8.55
1989-12-01,-0.6155272215552898,14.632365,-1.7998682663420074,2.4090610650234545,8.45
1990-01-01,-0.5106366126906181,16.564705,-1.715670267728668,1.6054670564720652,8.23
1990-02-01,0.42215988121316883,13.131612,-1.749688255307368,-9.373718039534307,8.24
1990-03-01,1.3448809812611984,12.58115,-1.8343326073031068,0.7265551915365265,8.28
1990-04-01,-0.5953122685264489,2.7462914,-1.9466862453302018,1.5423322840457665,8.26
1990-05-01,-0.9973921792784779,-6.1560149,-1.9547797318265927,-2.077748617866071,8.18
1990-06-01,-1.3166572926598619,-14.983053,-2.041228027118677,8.277819517025442,8.29
1990-07-01,0.18298571163697375,-24.963211,-1.9666603515959256,-1.4626361289228562,8.15
1990-08-01,-6.212048819300087,-15.946364,-1.592858783631189,-1.9637776963874032,8.13
1990-09-01,4.363561150451467,-18.542019,-1.374738743677058,-10.246619123756684,8.2
1990-10-01,0.624453524473445,-14.52486,-1.3051220875175167,-3.2318246657632166,8.11
1990-11-01,1.3934131287422602,-9.5603836,-1.4091412584949186,-2.7715646609307143,7.81
1990-12-01,0.41558759407909207,-0.28289139,-1.5953792273142613,5.040653228871594,7.31
1991-01-01,-0.3077994784751681,0.34527732,-1.6365276050807644,0.35058471674673797,6.91
1991-02-01,-0.5251100503780748,10.102198,-1.8568916383498162,4.8857223465280875,6.25
1991-03-01,0.38579268283491785,18.043302,-1.924697566077239,7.68962995397775,6.12
1991-04-01,-2.177828804551929,10.592027,-1.871062258258881,0.0014808725770976139,5.91
1991-05-01,-0.3347183932282505,14.428308,-1.8547652423204581,2.0229683181031355,5.78
